,CH1,CH2
Second,Volt,Volt
3.00000e-04,1.20e-01,-2.00e-02, 
3.02000e-04,3.40e-01,-4.00e-02, 
3.04000e-04,3.60e-01,-2.00e-02, 
3.06000e-04,5.40e-01,-4.00e-02, 
3.08000e-04,5.40e-01,-2.00e-02, 
3.10000e-04,7.40e-01,-4.00e-02, 
3.12000e-04,7.60e-01,-4.00e-02, 
3.14000e-04,9.00e-01,-2.00e-02, 
3.16000e-04,8.80e-01,-2.00e-02, 
3.18000e-04,9.80e-01,-4.00e-02, 
3.20000e-04,9.80e-01,-2.00e-02, 
3.22000e-04,1.00e+00,-4.00e-02, 
3.24000e-04,1.00e+00,-2.00e-02, 
3.26000e-04,9.60e-01,-4.00e-02, 
3.28000e-04,9.80e-01,-2.00e-02, 
3.30000e-04,8.60e-01,-4.00e-02, 
3.32000e-04,8.60e-01,-2.00e-02, 
3.34000e-04,7.40e-01,-4.00e-02, 
3.36000e-04,7.00e-01,-2.00e-02, 
3.38000e-04,5.40e-01,-4.00e-02, 
3.40000e-04,5.20e-01,-4.00e-02, 
3.42000e-04,3.40e-01,-2.00e-02, 
3.44000e-04,3.00e-01,-4.00e-02, 
3.46000e-04,8.00e-02,-2.00e-02, 
3.48000e-04,6.00e-02,-2.00e-02, 
3.50000e-04,-1.60e-01,-2.00e-02, 
3.52000e-04,-1.80e-01,-2.00e-02, 
3.54000e-04,-3.80e-01,-4.00e-02, 
3.56000e-04,-4.20e-01,-4.00e-02, 
3.58000e-04,-6.00e-01,-2.00e-02, 
3.60000e-04,-6.20e-01,-4.00e-02, 
3.62000e-04,-7.80e-01,-2.00e-02, 
3.64000e-04,-7.80e-01,-2.00e-02, 
3.66000e-04,-9.00e-01,-4.00e-02, 
3.68000e-04,-8.80e-01,-4.00e-02, 
3.70000e-04,-9.60e-01,-2.00e-02, 
3.72000e-04,-9.60e-01,-2.00e-02, 
3.74000e-04,-9.60e-01,-4.00e-02, 
3.76000e-04,-9.60e-01,-4.00e-02, 
3.78000e-04,-8.80e-01,-2.00e-02, 
3.80000e-04,-8.80e-01,-2.00e-02, 
3.82000e-04,-7.60e-01,-4.00e-02, 
3.84000e-04,-7.40e-01,-4.00e-02, 
3.86000e-04,-6.00e-01,-2.00e-02, 
3.88000e-04,-5.80e-01,-2.00e-02, 
3.90000e-04,-3.80e-01,-4.00e-02, 
3.92000e-04,-3.80e-01,-4.00e-02, 
3.94000e-04,-1.60e-01,-2.00e-02, 
